Date,Financials,Consumer Staples,Materials,Energy,Industrials,Health Care,Communication Services,Utilities,Consumer Discretionary,Information Technology,Real Estate
2/29/12,0.179473759,0.127905905,0.108525342,0.107475507,0.113037809,0.099671649,0.071475084,0.055008309,0.0961866,0.028638785,0.012601251
3/31/12,0.177581829,0.132455491,0.104944129,0.103655512,0.113733597,0.100853786,0.071717876,0.054453545,0.097546357,0.029839197,0.013218679
4/30/12,0.168730264,0.135961209,0.107342324,0.10478287,0.11339807,0.105536459,0.070574814,0.052265546,0.099382294,0.02889345,0.0131327
5/31/12,0.160559815,0.143887783,0.102270002,0.102983781,0.112758658,0.110716775,0.071628574,0.052162151,0.100439124,0.028703672,0.013889666
6/30/12,0.167845523,0.141373064,0.099696222,0.103050144,0.110782317,0.110673294,0.072468138,0.05443749,0.09800067,0.02763912,0.014034017
7/31/12,0.16358897,0.144746438,0.100213731,0.10208065,0.111112837,0.114221685,0.071176796,0.050528138,0.099037065,0.028933045,0.014360645
8/31/12,0.170978272,0.142582442,0.097274442,0.103297439,0.110294484,0.110913277,0.071506935,0.051590212,0.098816711,0.028477485,0.014268299
9/30/12,0.176733978,0.139351942,0.100349938,0.100235612,0.110453291,0.11093885,0.070189052,0.051663679,0.096286959,0.029106574,0.014690125
10/31/12,0.181440813,0.137685215,0.100603965,0.09785813,0.110771071,0.109538124,0.066306244,0.05226671,0.098997995,0.029090349,0.015441385
11/30/12,0.183944586,0.140331306,0.099361026,0.094319346,0.112505123,0.10796977,0.065066544,0.048776118,0.102030197,0.030185366,0.015510618
12/31/12,0.186637209,0.13607118,0.103610665,0.092047074,0.113304298,0.107144167,0.064616591,0.049065931,0.102022764,0.030155419,0.015324702
1/31/13,0.193639036,0.135268571,0.100337967,0.090716828,0.112283555,0.108280762,0.06533475,0.047205603,0.101809028,0.030536992,0.014586908
2/28/13,0.192829013,0.143707825,0.100224732,0.081223467,0.116638743,0.103572364,0.061975266,0.048423169,0.105886601,0.032370637,0.013148182
3/31/13,0.184276841,0.149851729,0.094733186,0.080785897,0.117549206,0.108507972,0.0660977,0.048245655,0.104598697,0.032198006,0.013155113
4/30/13,0.190641106,0.143595018,0.090191525,0.086517052,0.113281666,0.115880693,0.069092519,0.048584765,0.098938296,0.030276744,0.013000617
5/31/13,0.194751416,0.138785404,0.091635751,0.085433642,0.114878812,0.11438276,0.067061908,0.047198093,0.102788806,0.030197813,0.012885595
6/30/13,0.191486573,0.140597117,0.087249265,0.084096421,0.114707493,0.11763288,0.069735321,0.047215809,0.103723143,0.030655932,0.012900046
7/31/13,0.197799789,0.13699269,0.086411547,0.082915395,0.11562283,0.113376887,0.069662261,0.047014683,0.107093785,0.030191139,0.012918995
8/31/13,0.197112294,0.134441948,0.088785715,0.084193844,0.116238261,0.112771749,0.071413082,0.046147212,0.106071519,0.03060085,0.012223526
9/30/13,0.197128211,0.132268039,0.08926901,0.080687733,0.120611219,0.109507896,0.073023834,0.046832979,0.107141729,0.031271905,0.012257445
10/31/13,0.202558722,0.130217877,0.088563925,0.080841465,0.118763083,0.108553549,0.074686838,0.047210766,0.106052786,0.030292507,0.012258482
11/30/13,0.202490184,0.128881089,0.087755602,0.079211277,0.11969656,0.110335982,0.074131316,0.047377664,0.106863416,0.03105863,0.01219828
12/31/13,0.202911541,0.127095306,0.087813648,0.079049387,0.120100864,0.109307699,0.078203264,0.04613204,0.106451905,0.03104242,0.011891926
1/31/14,0.206652799,0.123602685,0.087584888,0.077170719,0.120852273,0.111994261,0.078661612,0.046600494,0.104580198,0.030133499,0.012166572
2/28/14,0.206486008,0.124571164,0.088217322,0.078429558,0.120681697,0.11421998,0.071765574,0.0484464,0.104282585,0.030391024,0.012508688
3/31/14,0.208430868,0.124244082,0.086817894,0.079053879,0.122078293,0.111453693,0.070026856,0.050293992,0.104797043,0.03058626,0.012217141
4/30/14,0.207022397,0.125604432,0.087851091,0.083237029,0.118228633,0.112216649,0.069491744,0.049321087,0.105221044,0.029124089,0.012681806
5/31/14,0.207695888,0.12736034,0.08575287,0.082182997,0.118207641,0.111542957,0.069648316,0.049896711,0.10566723,0.029340732,0.012704317
6/30/14,0.20318449,0.127394627,0.086453613,0.084887036,0.11607837,0.114368792,0.07004632,0.050332943,0.10532123,0.029019889,0.012912691
7/31/14,0.207023925,0.126036303,0.089375223,0.082769373,0.113658666,0.115676111,0.070266561,0.050925211,0.101144316,0.030098931,0.013025379
